x,rho(x),R(x),V(rho)
-7.437437437437437460e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.417417417417417447e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.397397397397397434e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.377377377377377421e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.357357357357357408e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.337337337337337395e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.317317317317317382e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.297297297297297369e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.277277277277277356e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.257257257257257343e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.237237237237237331e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.217217217217217318e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.197197197197197305e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.177177177177177292e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.157157157157157279e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.137137137137137266e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.117117117117117253e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.097097097097097240e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.077077077077077227e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.057057057057057214e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.037037037037037202e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.017017017017017189e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.996996996996997176e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.976976976976977163e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.956956956956957150e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.936936936936937137e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.916916916916917124e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
